start_area,end_area,distance_km,time_of_day,day_of_week,weather_condition,traffic_density_level,road_type,average_speed_kmph,travel_time_minutes
Rohini,Pitampura,8.97,Afternoon,Weekday,Clear,Medium,Inner Road,15.2,35.7
Vasant Kunj,IGI Airport,6.9,Afternoon,Weekday,Fog,Very High,Highway,10.8,42.6
Pitampura,Mayur Vihar,18.76,Evening Peak,Weekday,Clear,High,Main Road,21.9,59.1
Chandni Chowk,Rajouri Garden,10.59,Evening Peak,Weekday,Clear,High,Main Road,27.1,24.5
Greater Kailash,Chandni Chowk,11.55,Morning Peak,Weekday,Clear,High,Main Road,25.9,28.2
Rohini,Model Town,13.8,Morning Peak,Weekday,Clear,Medium,Main Road,42.8,19.5
Rohini,Lajpat Nagar,26.64,Evening Peak,Weekday,Rain,High,Highway,23.1,71.6
Hauz Khas,Rohini,26.29,Afternoon,Weekday,Rain,Medium,Inner Road,15.4,99.5
Vasant Kunj,Greater Kailash,8.11,Morning Peak,Weekday,Clear,High,Main Road,24.2,20.4
Kalkaji,Model Town,20.77,Morning Peak,Weekend,Clear,High,Main Road,17.7,70.3
Mayur Vihar,Connaught Place,7.89,Evening Peak,Weekday,Clear,High,Highway,37.9,12.3
Karol Bagh,Preet Vihar,10.02,Evening Peak,Weekend,Heatwave,Medium,Highway,63.9,10.2
Pitampura,Rajouri Garden,6.43,Afternoon,Weekday,Clear,High,Main Road,24.5,16.3
Rajouri Garden,Vasant Kunj,14.56,Evening Peak,Weekend,Heatwave,Very High,Main Road,10.7,82.1
IGI Airport,Noida Sector 18,22.12,Night,Weekday,Clear,Low,Main Road,58.2,23.6
Rajouri Garden,AIIMS,12.31,Night,Weekday,Clear,Low,Main Road,54.8,14.2
Dwarka,Civil Lines,20.04,Afternoon,Weekday,Clear,Medium,Main Road,38.8,30.8
AIIMS,Connaught Place,7.18,Night,Weekend,Clear,Medium,Main Road,39.5,11.1
Hauz Khas,Pitampura,18.42,Evening Peak,Weekend,Rain,Medium,Main Road,18.7,59.5
Punjabi Bagh,AIIMS,13.63,Night,Weekend,Clear,Medium,Highway,62.7,15.1
Kalkaji,Civil Lines,16.3,Evening Peak,Weekday,Clear,Medium,Highway,61.0,15.7
Karol Bagh,Saket,14.26,Evening Peak,Weekend,Clear,Low,Main Road,55.5,15.0
Rohini,Kalkaji,30.48,Evening Peak,Weekend,Heatwave,Medium,Main Road,38.1,56.1
Okhla,AIIMS,7.2,Evening Peak,Weekend,Clear,Low,Main Road,42.2,10.0
Greater Kailash,Chandni Chowk,11.55,Afternoon,Weekend,Clear,Low,Main Road,56.2,12.2
Lajpat Nagar,Karol Bagh,10.19,Night,Weekday,Fog,Low,Highway,49.4,12.7
Kalkaji,Okhla,1.94,Evening Peak,Weekday,Clear,High,Inner Road,16.5,7.7
Punjabi Bagh,Preet Vihar,16.03,Morning Peak,Weekday,Clear,Medium,Main Road,34.1,30.5
Okhla,Nehru Place,2.67,Night,Weekend,Clear,Medium,Main Road,37.6,4.2
Mayur Vihar,Dwarka,24.43,Afternoon,Weekday,Heatwave,High,Inner Road,12.5,116.5
Karol Bagh,Shahdara,9.9,Night,Weekday,Heatwave,High,Inner Road,15.1,41.2
Nehru Place,Noida Sector 18,7.47,Evening Peak,Weekend,Rain,Medium,Inner Road,15.9,28.6
Chandni Chowk,Okhla,13.88,Evening Peak,Weekday,Heatwave,Low,Main Road,52.0,16.2
Vasant Kunj,Karol Bagh,15.08,Afternoon,Weekday,Clear,Medium,Main Road,42.9,21.3
Rohini,AIIMS,25.2,Evening Peak,Weekday,Rain,Very High,Highway,12.6,123.2
AIIMS,IGI Airport,10.81,Morning Peak,Weekday,Clear,Very High,Highway,20.5,32.4
Punjabi Bagh,Dwarka,11.86,Evening Peak,Weekday,Rain,Very High,Main Road,10.2,79.0
Connaught Place,Chandni Chowk,2.54,Evening Peak,Weekday,Clear,High,Inner Road,14.2,10.8
Nehru Place,Punjabi Bagh,17.83,Night,Weekday,Clear,Medium,Highway,62.7,16.7
Dwarka,Hauz Khas,15.78,Afternoon,Weekend,Clear,Medium,Main Road,28.2,35.0
Connaught Place,Shahdara,8.44,Morning Peak,Weekend,Rain,Medium,Main Road,28.3,18.6
Chandni Chowk,Dwarka,19.18,Evening Peak,Weekday,Clear,Very High,Main Road,12.0,93.1
Preet Vihar,Civil Lines,7.88,Morning Peak,Weekday,Heatwave,Very High,Inner Road,8.0,58.2
IGI Airport,Janakpuri,7.4,Evening Peak,Weekday,Clear,High,Main Road,20.7,21.8
IGI Airport,Punjabi Bagh,12.83,Evening Peak,Weekday,Clear,High,Main Road,27.2,28.1
Vasant Kunj,Chandni Chowk,16.27,Afternoon,Weekday,Heatwave,Medium,Highway,51.4,19.7
Greater Kailash,Pitampura,20.1,Morning Peak,Weekday,Clear,High,Highway,37.3,33.9
Nehru Place,Karol Bagh,12.97,Morning Peak,Weekday,Clear,Very High,Highway,15.8,49.6
Dwarka,Pitampura,15.04,Evening Peak,Weekday,Heatwave,High,Main Road,28.3,33.1
Pitampura,Chandni Chowk,11.29,Evening Peak,Weekend,Clear,Medium,Highway,51.5,13.6
Model Town,IGI Airport,19.83,Night,Weekend,Clear,Low,Main Road,38.7,30.9
Civil Lines,Vasant Kunj,19.08,Morning Peak,Weekend,Clear,Low,Highway,61.3,19.5
Karol Bagh,Janakpuri,10.56,Afternoon,Weekday,Clear,High,Main Road,26.5,24.8
Chandni Chowk,Civil Lines,3.35,Morning Peak,Weekday,Clear,Low,Inner Road,29.2,7.1
IGI Airport,Model Town,19.83,Afternoon,Weekend,Clear,Medium,Inner Road,27.4,45.4
Punjabi Bagh,Saket,17.62,Afternoon,Weekday,Fog,High,Main Road,15.6,70.3
Vasant Kunj,Janakpuri,13.24,Evening Peak,Weekday,Clear,High,Main Road,18.0,45.2
Vasant Kunj,Lajpat Nagar,9.65,Afternoon,Weekend,Rain,Medium,Main Road,32.2,18.4
Rohini,Pitampura,8.97,Evening Peak,Weekday,Clear,High,Main Road,20.4,25.8
Civil Lines,Janakpuri,14.89,Evening Peak,Weekday,Clear,High,Highway,41.4,21.3
Shahdara,Connaught Place,8.44,Afternoon,Weekday,Rain,Medium,Main Road,29.1,17.6
Nehru Place,Vasant Kunj,9.97,Night,Weekday,Clear,Low,Main Road,60.2,10.2
Pitampura,Nehru Place,20.88,Evening Peak,Weekday,Clear,Very High,Main Road,10.1,123.3
Pitampura,AIIMS,17.0,Afternoon,Weekend,Clear,Medium,Main Road,41.2,24.5
Punjabi Bagh,Janakpuri,6.67,Afternoon,Weekday,Fog,High,Highway,21.2,18.5
Dwarka,Lajpat Nagar,18.84,Evening Peak,Weekday,Fog,Medium,Highway,29.3,38.5
Karol Bagh,Rajouri Garden,6.66,Evening Peak,Weekend,Clear,High,Main Road,27.4,14.3
Kalkaji,Saket,4.6,Morning Peak,Weekday,Clear,High,Inner Road,16.6,17.2
Pitampura,Kalkaji,22.07,Evening Peak,Weekday,Clear,High,Highway,36.3,35.9
Noida Sector 18,Mayur Vihar,5.74,Afternoon,Weekday,Clear,High,Inner Road,10.7,34.0
Saket,Hauz Khas,2.85,Morning Peak,Weekday,Rain,Very High,Inner Road,4.9,36.7
Model Town,Shahdara,10.5,Evening Peak,Weekday,Clear,Low,Main Road,44.2,14.6
Civil Lines,IGI Airport,18.43,Afternoon,Weekday,Heatwave,Very High,Highway,17.8,73.1
AIIMS,Civil Lines,12.66,Morning Peak,Weekday,Fog,Medium,Main Road,19.1,44.3
Hauz Khas,Connaught Place,9.27,Evening Peak,Weekday,Fog,Very High,Main Road,5.2,109.4
Preet Vihar,Noida Sector 18,8.57,Afternoon,Weekday,Clear,Medium,Main Road,34.4,15.4
Kalkaji,IGI Airport,15.01,Evening Peak,Weekday,Heatwave,High,Main Road,18.8,49.7
Hauz Khas,Vasant Kunj,5.36,Evening Peak,Weekday,Clear,Very High,Highway,19.6,17.0
Chandni Chowk,Mayur Vihar,7.47,Evening Peak,Weekday,Fog,Low,Highway,38.3,12.2
Janakpuri,Preet Vihar,20.09,Night,Weekday,Fog,Low,Main Road,32.1,39.1
Civil Lines,Kalkaji,16.3,Evening Peak,Weekday,Heatwave,High,Inner Road,15.9,60.1
Kalkaji,Janakpuri,18.68,Evening Peak,Weekend,Clear,Medium,Highway,65.5,20.1
Rohini,Punjabi Bagh,11.6,Evening Peak,Weekday,Clear,Medium,Inner Road,18.4,43.8
Civil Lines,Noida Sector 18,15.73,Afternoon,Weekday,Clear,Low,Highway,85.4,11.3
IGI Airport,Okhla,16.94,Evening Peak,Weekday,Clear,Very High,Main Road,13.3,75.5
Dwarka,Shahdara,25.37,Afternoon,Weekday,Heatwave,Medium,Highway,55.3,32.4
Vasant Kunj,Noida Sector 18,17.44,Afternoon,Weekend,Clear,High,Main Road,24.5,44.7
Shahdara,Karol Bagh,9.9,Night,Weekday,Fog,Medium,Inner Road,13.0,46.9
Karol Bagh,Civil Lines,4.62,Morning Peak,Weekday,Clear,High,Inner Road,19.6,14.2
IGI Airport,Okhla,16.94,Evening Peak,Weekend,Clear,Low,Highway,79.8,12.7
AIIMS,Karol Bagh,9.61,Evening Peak,Weekday,Clear,High,Main Road,22.9,25.5
Karol Bagh,Punjabi Bagh,6.08,Morning Peak,Weekday,Clear,High,Main Road,25.7,14.2
Connaught Place,Chandni Chowk,2.54,Morning Peak,Weekend,Clear,High,Inner Road,11.4,13.2
Shahdara,Vasant Kunj,21.4,Evening Peak,Weekend,Clear,Low,Highway,74.5,18.3
Shahdara,AIIMS,14.08,Evening Peak,Weekend,Clear,Medium,Inner Road,27.7,31.7
Nehru Place,Connaught Place,9.83,Afternoon,Weekday,Clear,High,Main Road,29.0,21.5
Saket,Janakpuri,15.88,Morning Peak,Weekday,Clear,High,Main Road,24.5,43.7
Karol Bagh,Okhla,15.59,Afternoon,Weekday,Clear,Low,Highway,71.3,12.8
Model Town,Pitampura,5.98,Evening Peak,Weekday,Heatwave,Very High,Inner Road,7.9,51.3
Hauz Khas,Shahdara,16.26,Afternoon,Weekday,Clear,Medium,Highway,59.8,17.1
Karol Bagh,Civil Lines,4.62,Evening Peak,Weekday,Clear,Medium,Inner Road,16.9,16.8
Rajouri Garden,Shahdara,16.5,Evening Peak,Weekend,Rain,Low,Main Road,39.3,24.5
Nehru Place,Pitampura,20.88,Afternoon,Weekday,Clear,Medium,Highway,65.8,19.8
Lajpat Nagar,Karol Bagh,10.19,Evening Peak,Weekday,Rain,Very High,Main Road,9.4,67.0
Dwarka,Lajpat Nagar,18.84,Morning Peak,Weekday,Clear,High,Main Road,18.0,62.4
Noida Sector 18,Preet Vihar,8.57,Morning Peak,Weekday,Clear,Very High,Main Road,14.1,38.0
Nehru Place,Civil Lines,14.85,Morning Peak,Weekend,Clear,Low,Highway,86.7,10.2
Greater Kailash,Okhla,4.03,Afternoon,Weekday,Rain,High,Main Road,16.1,15.0
Mayur Vihar,Noida Sector 18,5.74,Morning Peak,Weekday,Rain,Low,Main Road,38.7,8.7
Kalkaji,Mayur Vihar,9.67,Afternoon,Weekday,Fog,Low,Main Road,30.5,19.8
Connaught Place,IGI Airport,14.14,Night,Weekend,Heatwave,Low,Main Road,38.1,22.6
Okhla,Civil Lines,17.22,Evening Peak,Weekday,Rain,High,Inner Road,13.7,77.9
Lajpat Nagar,Punjabi Bagh,15.06,Afternoon,Weekday,Clear,Medium,Highway,59.7,15.5
Lajpat Nagar,Shahdara,12.53,Afternoon,Weekday,Rain,Medium,Main Road,27.1,31.1
Chandni Chowk,Karol Bagh,3.94,Evening Peak,Weekday,Heatwave,Very High,Highway,21.0,11.4
Karol Bagh,Okhla,15.59,Afternoon,Weekday,Heatwave,Medium,Highway,48.8,22.1
Noida Sector 18,Greater Kailash,9.35,Evening Peak,Weekday,Heatwave,Medium,Main Road,26.3,21.2
Greater Kailash,Chandni Chowk,11.55,Afternoon,Weekday,Clear,Medium,Main Road,38.2,19.7
Okhla,Punjabi Bagh,20.5,Night,Weekday,Clear,Low,Main Road,35.0,35.0
Noida Sector 18,Saket,12.72,Afternoon,Weekend,Clear,Medium,Highway,47.2,16.4
Punjabi Bagh,IGI Airport,12.83,Afternoon,Weekend,Rain,Medium,Inner Road,15.8,50.3
Noida Sector 18,Vasant Kunj,17.44,Morning Peak,Weekend,Clear,High,Inner Road,17.9,60.4
Karol Bagh,Lajpat Nagar,10.19,Evening Peak,Weekday,Heatwave,Very High,Main Road,12.7,52.4
Shahdara,Nehru Place,14.22,Morning Peak,Weekday,Clear,Very High,Main Road,9.6,90.5
Noida Sector 18,Shahdara,12.02,Afternoon,Weekday,Fog,Very High,Highway,8.9,83.5
Saket,Vasant Kunj,4.88,Afternoon,Weekday,Clear,High,Inner Road,13.3,24.0
Connaught Place,Punjabi Bagh,9.3,Afternoon,Weekday,Clear,Medium,Inner Road,13.1,46.4
Kalkaji,Hauz Khas,5.29,Evening Peak,Weekend,Fog,High,Main Road,13.4,27.0
Chandni Chowk,Okhla,13.88,Afternoon,Weekend,Clear,Low,Highway,75.9,11.0
Lajpat Nagar,Greater Kailash,2.6,Morning Peak,Weekday,Clear,Very High,Inner Road,8.6,17.6
Pitampura,Janakpuri,10.13,Afternoon,Weekday,Clear,Very High,Inner Road,8.1,73.5
IGI Airport,Rohini,21.91,Evening Peak,Weekday,Clear,Very High,Inner Road,8.2,158.3
Model Town,Shahdara,10.5,Morning Peak,Weekday,Rain,Very High,Highway,12.0,59.2
Shahdara,Hauz Khas,16.26,Evening Peak,Weekday,Heatwave,Very High,Highway,17.9,53.7
Pitampura,Vasant Kunj,20.67,Morning Peak,Weekend,Heatwave,Low,Highway,64.9,18.8
Hauz Khas,Model Town,18.43,Evening Peak,Weekday,Clear,Very High,Highway,21.4,53.1
Rohini,Dwarka,17.53,Morning Peak,Weekend,Clear,High,Main Road,28.7,37.2
Kalkaji,Civil Lines,16.3,Morning Peak,Weekend,Clear,Medium,Highway,53.1,19.7
Rohini,Civil Lines,18.15,Afternoon,Weekday,Clear,High,Highway,41.9,26.8
Model Town,Rohini,13.8,Afternoon,Weekday,Rain,Medium,Main Road,30.0,31.7
Chandni Chowk,AIIMS,9.5,Afternoon,Weekday,Heatwave,Medium,Main Road,34.0,17.3
Mayur Vihar,Model Town,15.05,Morning Peak,Weekday,Clear,High,Highway,43.9,20.7
Rajouri Garden,Chandni Chowk,10.59,Morning Peak,Weekday,Heatwave,Medium,Highway,58.7,11.4
Karol Bagh,Vasant Kunj,15.08,Morning Peak,Weekday,Fog,Very High,Highway,12.2,78.3
Greater Kailash,AIIMS,3.26,Morning Peak,Weekday,Clear,Very High,Main Road,10.5,18.4
Connaught Place,AIIMS,7.18,Evening Peak,Weekend,Heatwave,High,Inner Road,7.7,54.9
Greater Kailash,Nehru Place,1.9,Afternoon,Weekend,Fog,High,Inner Road,8.2,14.1
Shahdara,Dwarka,25.37,Morning Peak,Weekend,Heatwave,Medium,Highway,49.0,31.1
Chandni Chowk,Okhla,13.88,Afternoon,Weekday,Clear,Medium,Main Road,41.1,20.1
Model Town,Saket,21.24,Evening Peak,Weekday,Heatwave,Very High,Inner Road,8.4,158.5
Kalkaji,Civil Lines,16.3,Evening Peak,Weekday,Clear,Medium,Main Road,44.9,22.4
Rajouri Garden,Mayur Vihar,17.23,Evening Peak,Weekend,Clear,Medium,Main Road,29.8,34.7
Rohini,IGI Airport,21.91,Morning Peak,Weekday,Clear,High,Highway,41.7,31.3
Rajouri Garden,Shahdara,16.5,Morning Peak,Weekday,Rain,High,Main Road,17.7,54.8
Mayur Vihar,Kalkaji,9.67,Afternoon,Weekday,Fog,High,Highway,21.4,26.5
Preet Vihar,Lajpat Nagar,9.58,Evening Peak,Weekday,Heatwave,High,Main Road,25.9,23.2
Nehru Place,Dwarka,20.8,Afternoon,Weekday,Clear,Very High,Highway,20.0,63.4
Vasant Kunj,Preet Vihar,18.93,Afternoon,Weekday,Clear,Low,Main Road,59.6,21.4
Vasant Kunj,Okhla,11.21,Evening Peak,Weekday,Rain,High,Main Road,16.4,41.0
Greater Kailash,Dwarka,19.04,Afternoon,Weekday,Clear,Medium,Highway,63.0,18.8
Rajouri Garden,Janakpuri,4.38,Evening Peak,Weekend,Fog,High,Inner Road,8.4,30.6
Greater Kailash,Dwarka,19.04,Evening Peak,Weekday,Clear,High,Highway,38.4,31.3
Nehru Place,IGI Airport,14.99,Evening Peak,Weekend,Rain,Very High,Main Road,8.7,108.9
Nehru Place,Karol Bagh,12.97,Evening Peak,Weekday,Clear,Very High,Inner Road,9.8,87.5
Noida Sector 18,IGI Airport,22.12,Afternoon,Weekend,Clear,Very High,Highway,20.7,67.3
Kalkaji,Connaught Place,11.2,Morning Peak,Weekday,Fog,Very High,Highway,11.2,71.3
Janakpuri,Lajpat Nagar,15.7,Afternoon,Weekday,Clear,Low,Main Road,46.0,20.3
Model Town,IGI Airport,19.83,Evening Peak,Weekday,Heatwave,Very High,Highway,16.4,74.0
Noida Sector 18,Janakpuri,23.96,Night,Weekday,Heatwave,Low,Highway,61.6,26.5
Rajouri Garden,Connaught Place,9.35,Morning Peak,Weekday,Clear,Very High,Main Road,11.8,46.8
Pitampura,Mayur Vihar,18.76,Afternoon,Weekday,Clear,Medium,Highway,49.4,22.7
IGI Airport,Connaught Place,14.14,Afternoon,Weekend,Clear,Very High,Highway,20.0,44.3
Janakpuri,Preet Vihar,20.09,Afternoon,Weekday,Heatwave,Medium,Highway,50.1,24.6
Lajpat Nagar,Dwarka,18.84,Afternoon,Weekend,Clear,Medium,Highway,47.1,23.6
Preet Vihar,AIIMS,11.51,Evening Peak,Weekday,Clear,Very High,Main Road,11.2,68.5
Karol Bagh,Janakpuri,10.56,Night,Weekday,Clear,Low,Main Road,43.6,14.7
Model Town,Punjabi Bagh,7.93,Evening Peak,Weekday,Clear,Very High,Main Road,9.2,53.1
Punjabi Bagh,Preet Vihar,16.03,Morning Peak,Weekday,Clear,Very High,Highway,19.8,48.9
Lajpat Nagar,Chandni Chowk,8.98,Evening Peak,Weekend,Heatwave,Medium,Main Road,38.4,16.9
Greater Kailash,Civil Lines,14.87,Evening Peak,Weekday,Clear,Very High,Highway,18.9,46.9
Punjabi Bagh,Hauz Khas,14.84,Afternoon,Weekday,Heatwave,Low,Main Road,43.5,21.6
Shahdara,Rajouri Garden,16.5,Afternoon,Weekday,Rain,High,Highway,27.2,36.7
Janakpuri,Saket,15.88,Afternoon,Weekend,Clear,Low,Main Road,53.1,17.5
Punjabi Bagh,Dwarka,11.86,Evening Peak,Weekday,Clear,Very High,Main Road,13.3,55.3
Preet Vihar,Dwarka,24.67,Afternoon,Weekend,Rain,Medium,Highway,42.9,36.2
IGI Airport,Dwarka,6.61,Evening Peak,Weekend,Clear,Very High,Main Road,11.7,33.0
Vasant Kunj,Mayur Vihar,17.08,Evening Peak,Weekday,Clear,Very High,Main Road,14.5,73.1
Shahdara,Greater Kailash,15.04,Evening Peak,Weekday,Clear,High,Main Road,22.3,42.9
Karol Bagh,AIIMS,9.61,Morning Peak,Weekday,Heatwave,High,Inner Road,10.9,55.6
Nehru Place,Preet Vihar,10.93,Afternoon,Weekend,Clear,Low,Highway,60.6,10.9
Kalkaji,Connaught Place,11.2,Night,Weekday,Clear,Low,Inner Road,33.7,19.4
Noida Sector 18,Hauz Khas,12.51,Morning Peak,Weekday,Clear,High,Main Road,19.0,41.2
Janakpuri,Noida Sector 18,23.96,Evening Peak,Weekday,Clear,High,Highway,29.1,51.8
Rajouri Garden,Preet Vihar,16.6,Evening Peak,Weekday,Clear,High,Main Road,25.8,40.2
Karol Bagh,Preet Vihar,10.02,Morning Peak,Weekday,Clear,High,Main Road,27.3,22.5
Rajouri Garden,AIIMS,12.31,Night,Weekday,Clear,Medium,Highway,67.9,10.9
Hauz Khas,Karol Bagh,11.44,Afternoon,Weekday,Clear,Medium,Main Road,30.8,23.1
Nehru Place,Kalkaji,1.51,Evening Peak,Weekday,Clear,Very High,Inner Road,9.5,9.5
Noida Sector 18,Rajouri Garden,21.63,Afternoon,Weekend,Fog,Medium,Main Road,20.0,67.0
Kalkaji,Shahdara,15.71,Evening Peak,Weekday,Rain,Very High,Inner Road,5.2,176.2
Nehru Place,Punjabi Bagh,17.83,Evening Peak,Weekend,Clear,High,Main Road,27.7,39.8
Noida Sector 18,Chandni Chowk,12.9,Morning Peak,Weekday,Fog,Very High,Main Road,7.8,114.9
Connaught Place,Greater Kailash,9.57,Evening Peak,Weekend,Clear,High,Main Road,18.4,34.6
Shahdara,Janakpuri,20.44,Evening Peak,Weekday,Clear,High,Highway,33.8,37.3
Rajouri Garden,Preet Vihar,16.6,Morning Peak,Weekday,Heatwave,Low,Inner Road,35.3,28.4
Mayur Vihar,IGI Airport,20.09,Night,Weekend,Clear,Low,Highway,62.0,20.4
AIIMS,Model Town,16.52,Evening Peak,Weekday,Heatwave,High,Main Road,22.3,44.0
Noida Sector 18,Chandni Chowk,12.9,Afternoon,Weekday,Fog,Medium,Highway,35.1,21.7
Shahdara,AIIMS,14.08,Afternoon,Weekday,Rain,Medium,Main Road,25.1,35.6
Mayur Vihar,Pitampura,18.76,Morning Peak,Weekday,Clear,Very High,Main Road,11.5,97.9
Rohini,Okhla,32.09,Night,Weekday,Clear,Low,Highway,62.0,32.4
Okhla,Pitampura,23.54,Evening Peak,Weekend,Clear,High,Highway,34.6,41.1
Greater Kailash,AIIMS,3.26,Afternoon,Weekday,Clear,Medium,Main Road,26.5,7.4
Nehru Place,Dwarka,20.8,Night,Weekend,Heatwave,Medium,Main Road,35.3,37.4
Rajouri Garden,Mayur Vihar,17.23,Evening Peak,Weekday,Heatwave,Very High,Main Road,10.4,101.3
Punjabi Bagh,Greater Kailash,16.84,Evening Peak,Weekday,Clear,Very High,Highway,18.9,55.9
Civil Lines,Noida Sector 18,15.73,Morning Peak,Weekday,Clear,Very High,Main Road,11.8,80.9
Preet Vihar,Shahdara,3.56,Evening Peak,Weekend,Rain,Low,Inner Road,12.3,19.3
Saket,Punjabi Bagh,17.62,Morning Peak,Weekend,Heatwave,Medium,Main Road,37.1,29.8
AIIMS,Rajouri Garden,12.31,Afternoon,Weekend,Rain,Medium,Main Road,20.8,37.1
Civil Lines,Connaught Place,5.49,Afternoon,Weekday,Clear,Medium,Inner Road,23.9,14.4
Dwarka,Shahdara,25.37,Evening Peak,Weekday,Clear,High,Highway,34.2,44.0
Punjabi Bagh,Rohini,11.6,Evening Peak,Weekend,Clear,Medium,Main Road,41.2,17.0
Karol Bagh,Vasant Kunj,15.08,Afternoon,Weekday,Rain,Medium,Highway,32.3,30.7
Noida Sector 18,Rajouri Garden,21.63,Morning Peak,Weekday,Heatwave,Very High,Highway,14.8,97.4
Greater Kailash,Pitampura,20.1,Morning Peak,Weekday,Clear,High,Highway,39.4,30.3
Rajouri Garden,Karol Bagh,6.66,Night,Weekday,Clear,Medium,Inner Road,14.9,28.2
Hauz Khas,Karol Bagh,11.44,Night,Weekday,Clear,Medium,Main Road,41.6,16.3
Model Town,Dwarka,19.78,Afternoon,Weekday,Rain,High,Main Road,16.7,69.8
Okhla,Preet Vihar,12.45,Night,Weekday,Rain,Medium,Main Road,18.9,39.5
Hauz Khas,Mayur Vihar,11.72,Evening Peak,Weekday,Heatwave,Low,Highway,81.9,10.0
Karol Bagh,Noida Sector 18,16.06,Afternoon,Weekday,Rain,High,Main Road,15.5,66.3
AIIMS,Connaught Place,7.18,Evening Peak,Weekday,Clear,High,Inner Road,11.8,37.4
Preet Vihar,Rajouri Garden,16.6,Morning Peak,Weekday,Clear,Very High,Main Road,9.5,105.6
Kalkaji,Mayur Vihar,9.67,Afternoon,Weekday,Clear,Very High,Main Road,12.3,46.6
Okhla,Noida Sector 18,6.92,Night,Weekend,Rain,Low,Highway,57.5,7.1
Lajpat Nagar,Hauz Khas,4.29,Evening Peak,Weekday,Heatwave,Very High,Main Road,12.9,20.5
